seq_id,print_id,tile_id,p_1,dp_1,p_2,dp_2,p_3,dp_3,p_4,dp_4,p_5,dp_5
49,SI266220200309225433,1,"(498,498)",4888.314912280701,"(497,498)",4043.993859649123,"(498,14)",4014.0666666666675,"(498,462)",3930.262280701754,"(498,463)",3878.0921052631584
50,SI266220200309225433,2,"(498,168)",13504.539473684214,"(498,167)",13127.613157894739,"(498,169)",12846.054385964915,"(498,170)",12312.781578947368,"(498,183)",11909.250877192979
51,SI266220200309225433,3,"(498,179)",13536.329824561406,"(498,178)",13163.723684210527,"(498,167)",13073.199999999997,"(498,160)",12884.76052631579,"(498,173)",12864.724561403506
52,SI266220200309225433,4,"(188,347)",6680.700000000001,"(187,347)",6589.648245614037,"(189,347)",6050.139473684212,"(188,348)",5984.664912280703,"(187,348)",5915.37192982456
53,SI266220200309225433,5,"(349,469)",13262.057894736841,"(349,468)",13180.841228070174,"(348,469)",12338.274561403505,"(350,469)",12335.769298245614,"(349,467)",12305.719298245614
54,SI266220200309225433,6,"(1,167)",14454.514912280702,"(1,168)",14445.383333333335,"(1,169)",13574.683333333334,"(1,166)",12544.251754385969,"(1,170)",12543.8649122807
55,SI266220200309225433,7,"(1,148)",13432.902631578945,"(1,160)",13375.25350877193,"(1,179)",13237.822807017546,"(1,173)",13182.803508771925,"(1,178)",13182.637719298247
56,SI266220200309225433,8,"(498,314)",6345.907017543861,"(498,355)",6165.392105263156,"(498,315)",6078.031578947372,"(498,313)",5918.997368421053,"(498,316)",5813.589473684209
57,SI266220200309225433,9,"(81,498)",15744.604385964914,"(169,498)",15024.98684210526,"(140,498)",14759.465789473688,"(82,498)",14714.402631578945,"(168,498)",14453.42456140351
58,SI266220200309225433,10,"(104,1)",16192.207894736839,"(105,1)",15986.666666666664,"(103,1)",15436.379824561405,"(106,1)",15260.173684210524,"(104,2)",15134.596491228076
59,SI266220200309225433,11,"(498,110)",3398.852631578946,"(498,150)",3275.674561403508,"(498,111)",3242.2149122807023,"(498,151)",3225.35350877193,"(498,109)",3217.3596491228072
60,SI266220200309225433,12,"(1,314)",6071.602631578946,"(1,315)",6045.890350877195,"(1,316)",5841.664035087721,"(1,317)",5575.688596491225,"(1,321)",5475.07894736842
61,SI266220200309225433,13,"(41,456)",9364.782456140354,"(42,456)",9193.295614035087,"(42,457)",8736.235087719298,"(41,455)",8295.676315789475,"(40,455)",8199.20087719298
62,SI266220200309225433,14,"(1,1)",7330.349122807016,"(1,2)",6024.985964912279,"(198,1)",5931.966666666667,"(2,1)",5928.62192982456,"(197,1)",5870.168421052629
63,SI266220200309225433,15,"(1,114)",3140.2052631578954,"(1,113)",3040.754385964912,"(1,115)",3014.8622807017546,"(1,109)",2986.85701754386,"(1,110)",2915.4771929824565
64,SI266220200309225433,0,"(498,355)",2165.885087719298,"(498,336)",2135.740350877193,"(498,387)",2116.3982456140347,"(498,298)",2111.7175438596487,"(498,337)",2111.28947368421
65,SI266220200309225433,1,"(498,14)",4775.888596491226,"(498,71)",4721.484210526316,"(498,70)",4695.411403508773,"(498,13)",4640.625438596489,"(498,72)",4516.190350877194
66,SI266220200309225433,2,"(498,162)",6210.0999999999985,"(498,161)",6035.218421052628,"(498,163)",5528.600877192985,"(499,167)",5460.877192982458,"(498,166)",5407.94385964912
67,SI266220200309225433,3,"(498,94)",11699.771052631579,"(498,93)",11444.152631578945,"(498,95)",10079.364035087718,"(499,94)",9275.290350877192,"(499,93)",8865.735087719298
68,SI266220200309225433,4,"(351,380)",5489.8122807017535,"(351,379)",5489.617543859651,"(351,381)",5267.931578947369,"(352,381)",5153.321052631582,"(351,378)",5132.7192982456145
69,SI266220200309225433,5,"(411,460)",5112.006140350877,"(410,460)",5025.807017543859,"(1,14)",4945.61842105263,"(1,13)",4771.378947368419,"(394,459)",4684.652631578945
70,SI266220200309225433,6,"(1,162)",7598.102631578946,"(1,161)",7441.322807017543,"(1,167)",7085.760526315786,"(351,464)",6874.977192982453,"(351,465)",6710.863157894739
71,SI266220200309225433,7,"(1,93)",11302.233333333334,"(1,94)",11248.691228070173,"(440,93)",10403.162280701752,"(440,94)",9852.026315789473,"(439,93)",9835.970175438593
72,SI266220200309225433,8,"(498,314)",7040.392105263156,"(498,313)",6963.6105263157915,"(498,315)",6283.2192982456145,"(498,355)",6205.657894736843,"(498,354)",5881.171929824559
73,SI266220200309225433,9,"(251,498)",9552.830701754388,"(250,498)",9424.276315789473,"(252,498)",8618.865789473686,"(251,499)",7638.534210526315,"(498,498)",7635.18245614035
74,SI266220200309225433,10,"(250,1)",9826.732456140355,"(251,1)",9593.877192982454,"(498,1)",8526.830701754387,"(252,1)",8460.814035087718,"(104,1)",8024.445614035085
75,SI266220200309225433,11,"(498,109)",3789.333333333334,"(498,110)",3731.8605263157897,"(498,151)",3726.476315789474,"(498,152)",3578.8736842105263,"(498,150)",3468.7666666666664
76,SI266220200309225433,12,"(1,314)",6529.21052631579,"(1,313)",6316.079824561402,"(151,383)",6295.435087719299,"(151,384)",6180.221929824558,"(151,382)",6014.970175438593
77,SI266220200309225433,13,"(1,498)",8034.6552631578925,"(2,498)",6441.283333333333,"(1,497)",6239.070175438597,"(1,499)",6207.965789473685,"(0,498)",6045.044736842105
78,SI266220200309225433,14,"(1,1)",8132.991228070177,"(2,1)",6846.348245614037,"(1,2)",6629.660526315791,"(29,1)",6400.732456140351,"(30,1)",6208.012280701754
79,SI266220200309225433,15,"(1,109)",4280.834210526315,"(1,110)",4093.765789473686,"(1,151)",3811.543859649124,"(1,152)",3628.8087719298255,"(1,150)",3574.514035087721
80,SI266220200309225433,0,"(498,388)",2890.8219298245613,"(498,387)",2890.4377192982447,"(498,386)",2464.855263157895,"(497,387)",2251.647368421053,"(497,388)",2235.097368421053
81,SI266220200309225433,1,"(498,14)",4118.13157894737,"(498,15)",3952.6280701754404,"(498,13)",3716.745614035088,"(498,16)",3653.007894736844,"(498,17)",3488.9192982456134
82,SI266220200309225433,2,"(468,169)",6744.617543859651,"(467,169)",6617.278070175442,"(468,170)",6566.851754385963,"(470,168)",6566.1026315789495,"(469,168)",6517.981578947369
83,SI266220200309225433,3,"(498,184)",13444.368421052633,"(498,183)",12808.09210526316,"(498,185)",11698.610526315788,"(498,182)",11240.10614035088,"(364,164)",10713.570175438595
84,SI266220200309225433,4,"(278,372)",5731.554385964915,"(278,371)",5595.785087719298,"(277,372)",5284.950877192983,"(277,371)",4958.873684210528,"(279,372)",4854.8842105263175
85,SI266220200309225433,5,"(361,466)",7714.084210526318,"(360,465)",7587.352631578946,"(361,465)",7559.547368421052,"(360,466)",7501.234210526316,"(362,466)",7454.926315789475
86,SI266220200309225433,6,"(352,379)",7379.533333333333,"(351,379)",7316.241228070172,"(353,379)",7121.59912280702,"(352,380)",7069.388596491226,"(351,380)",6969.5307017543855
87,SI266220200309225433,7,"(1,183)",11882.099999999999,"(1,184)",11674.338596491227,"(1,182)",11565.833333333336,"(1,181)",10904.789473684214,"(41,183)",10688.829824561406
88,SI266220200309225433,8,"(498,314)",6890.114912280704,"(498,315)",6495.866666666665,"(498,313)",6328.304385964915,"(498,316)",5892.554385964915,"(498,356)",5711.364912280704
89,SI266220200309225433,9,"(76,474)",7367.683333333334,"(75,474)",7153.686842105264,"(76,492)",7107.9017543859645,"(256,446)",7015.98684210526,"(76,473)",6968.239473684211
90,SI266220200309225433,10,"(341,35)",7431.621052631581,"(341,36)",7397.435964912282,"(340,36)",7211.277192982456,"(340,35)",6896.958771929825,"(124,8)",6793.7842105263135
91,SI266220200309225433,11,"(498,110)",4010.4517543859656,"(498,111)",3903.995614035088,"(498,109)",3763.877192982456,"(498,112)",3620.924561403508,"(498,152)",3429.061403508771
92,SI266220200309225433,12,"(1,314)",6587.497368421053,"(1,313)",6154.335964912279,"(1,315)",6098.196491228071,"(151,301)",5709.284210526312,"(151,302)",5619.574561403508
93,SI266220200309225433,13,"(1,498)",6306.67894736842,"(1,499)",4998.9850877192985,"(0,498)",4885.976315789474,"(1,246)",4808.0210526315805,"(150,498)",4724.7710526315805
94,SI266220200309225433,14,"(1,1)",6652.8403508771935,"(1,2)",5337.28947368421,"(2,1)",5267.38947368421,"(1,0)",5042.567543859648,"(0,1)",5041.349122807018
95,SI266220200309225433,15,"(1,110)",4054.1921052631587,"(1,109)",3785.8078947368413,"(1,111)",3642.418421052631,"(1,152)",3504.3903508771928,"(1,151)",3338.2035087719305
96,SI266220200309225433,0,"(498,388)",3330.561403508772,"(498,389)",2965.5105263157902,"(498,387)",2933.791228070175,"(499,388)",2638.2807017543855,"(499,389)",2541.4201754385967
97,SI266220200309225433,1,"(498,103)",4346.492105263156,"(498,498)",4343.232456140352,"(498,104)",4304.085087719299,"(498,14)",4214.681578947369,"(498,15)",4138.89298245614
98,SI266220200309225433,2,"(339,178)",7880.061403508775,"(340,178)",7667.668421052633,"(379,188)",7659.875438596493,"(338,178)",7633.3921052631595,"(378,188)",7538.06228070175
99,SI266220200309225433,3,"(498,183)",16208.94473684211,"(498,182)",16096.903508771924,"(498,184)",15331.73596491228,"(498,135)",14034.471929824562,"(498,139)",13796.012280701754
100,SI266220200309225433,4,"(236,306)",5148.4535087719305,"(236,307)",4913.946491228071,"(235,306)",4811.985964912281,"(273,299)",4739.5149122807015,"(350,387)",4728.690350877194
101,SI266220200309225433,5,"(350,498)",5955.523684210526,"(351,498)",5896.426315789473,"(352,498)",5226.8403508771935,"(440,498)",5014.871052631581,"(436,498)",5003.126315789474
102,SI266220200309225433,6,"(274,378)",8383.947368421053,"(274,379)",8172.411403508777,"(275,378)",8105.877192982454,"(273,378)",8098.654385964914,"(275,379)",7936.79298245614
103,SI266220200309225433,7,"(1,183)",16464.861403508774,"(1,184)",15793.166666666664,"(1,94)",15256.65789473684,"(1,146)",14735.500877192979,"(1,136)",14268.624561403507
104,SI266220200309225433,8,"(498,314)",5491.620175438598,"(498,315)",5139.664912280703,"(498,313)",5015.07192982456,"(498,356)",4942.9377192982465,"(498,316)",4651.595614035086
105,SI266220200309225433,9,"(163,447)",9560.178947368418,"(163,446)",9429.088596491223,"(162,447)",9312.278070175438,"(164,447)",9221.40087719298,"(162,446)",9033.67456140351
106,SI266220200309225433,10,"(103,1)",7635.729824561404,"(104,1)",7570.198245614036,"(158,1)",7257.511403508772,"(167,1)",7239.880701754388,"(157,1)",7232.228070175439
107,SI266220200309225433,11,"(498,110)",3697.7210526315775,"(498,111)",3631.136842105263,"(498,112)",3508.1017543859634,"(498,113)",3401.7614035087736,"(498,114)",3310.215789473683
108,SI266220200309225433,12,"(239,298)",7439.422807017549,"(240,298)",7303.57894736842,"(238,298)",7152.2517543859685,"(239,297)",6966.500877192979,"(238,297)",6936.17105263158
109,SI266220200309225433,13,"(1,498)",5246.286842105263,"(62,498)",4667.70701754386,"(150,498)",4525.237719298248,"(240,498)",4458.777192982458,"(61,498)",4421.085087719297
110,SI266220200309225433,14,"(1,1)",5451.883333333333,"(150,468)",5287.3122807017535,"(150,1)",4777.994736842107,"(151,1)",4628.568421052631,"(150,469)",4569.78245614035
111,SI266220200309225433,15,"(1,111)",3591.9885964912282,"(1,110)",3531.6815789473676,"(1,112)",3250.4614035087725,"(1,117)",3193.674561403508,"(1,118)",3188.507894736842
112,SI266220200309225433,0,"(498,384)",2074.6236842105263,"(498,383)",2043.5035087719298,"(498,385)",1872.3973684210532,"(499,384)",1815.7649122807015,"(499,383)",1789.5026315789473
113,SI266220200309225433,1,"(498,103)",3745.5473684210538,"(498,104)",3588.874561403509,"(498,102)",3468.569298245613,"(498,14)",3428.5491228070186,"(498,15)",3276.8877192982472
114,SI266220200309225433,2,"(498,250)",8132.695614035085,"(498,249)",8066.431578947369,"(498,248)",7899.435087719296,"(498,245)",7802.736842105263,"(498,251)",7772.087719298248
115,SI266220200309225433,3,"(498,94)",10670.988596491225,"(498,95)",10035.610526315788,"(451,183)",9385.60614035088,"(450,183)",9013.485087719302,"(450,182)",9010.5649122807
116,SI266220200309225433,4,"(164,333)",4686.270175438596,"(164,332)",4658.673684210527,"(350,387)",4611.3894736842085,"(165,333)",4341.179824561408,"(164,334)",4239.534210526315
117,SI266220200309225433,5,"(1,103)",3892.0780701754375,"(1,102)",3839.53596491228,"(1,14)",3557.2017543859656,"(1,104)",3497.9833333333336,"(1,15)",3494.020175438596
118,SI266220200309225433,6,"(1,250)",7831.973684210527,"(1,249)",7782.605263157893,"(1,163)",7768.201754385962,"(1,164)",7558.682456140348,"(1,166)",7432.17456140351
119,SI266220200309225433,7,"(1,94)",9440.576315789476,"(1,183)",9413.853508771928,"(1,95)",9376.609649122809,"(1,184)",8809.453508771927,"(1,182)",8701.445614035089
120,SI266220200309225433,8,"(498,314)",6823.401754385963,"(498,315)",6582.514912280705,"(498,355)",6329.268421052631,"(498,354)",6303.872807017542,"(498,353)",6106.653508771931
121,SI266220200309225433,9,"(108,498)",6966.563157894736,"(107,498)",6876.914035087721,"(109,498)",6860.649122807015,"(116,498)",6725.112280701753,"(117,498)",6647.676315789475
122,SI266220200309225433,10,"(109,1)",6958.948245614036,"(110,1)",6941.052631578947,"(108,1)",6903.100877192985,"(104,1)",6856.306140350876,"(107,1)",6756.96052631579
123,SI266220200309225433,11,"(498,151)",3328.7789473684225,"(498,150)",3192.907017543859,"(498,152)",3186.2210526315775,"(498,149)",3069.1096491228072,"(498,148)",2891.6929824561394
124,SI266220200309225433,12,"(1,354)",5922.939473684211,"(1,355)",5915.273684210526,"(1,314)",5676.923684210527,"(1,353)",5544.947368421053,"(1,315)",5380.4000000000015
125,SI266220200309225433,13,"(1,498)",6090.078070175439,"(2,498)",4969.625438596489,"(1,497)",4810.113157894737,"(1,499)",4654.088596491229,"(0,498)",4580.174561403508
126,SI266220200309225433,14,"(1,1)",6065.668421052629,"(2,1)",4885.714912280704,"(1,2)",4705.3166666666675,"(1,394)",4673.668421052629,"(0,1)",4614.68947368421
127,SI266220200309225433,15,"(149,183)",3108.221929824562,"(1,147)",2832.408771929826,"(1,111)",2819.670175438596,"(149,182)",2790.4929824561405,"(1,146)",2780.136842105263
128,SI266220200309225433,0,"(460,306)",2582.9771929824565,"(459,306)",2572.2666666666664,"(460,307)",2563.347368421053,"(452,300)",2506.5271929824576,"(453,300)",2500.64298245614
129,SI266220200309225433,1,"(498,229)",3988.528070175438,"(498,228)",3930.594736842105,"(496,444)",3544.7903508771933,"(496,445)",3472.0798245614033,"(495,444)",3358.537719298245
130,SI266220200309225433,2,"(498,251)",12542.571052631582,"(498,250)",11929.369298245612,"(498,252)",11775.37807017544,"(451,163)",11528.826315789476,"(452,163)",11518.286842105263
131,SI266220200309225433,3,"(498,94)",14015.5850877193,"(498,184)",13762.074561403504,"(498,93)",11285.587719298248,"(499,94)",11001.120175438595,"(498,113)",10814.801754385968
132,SI266220200309225433,4,"(435,385)",6809.655263157896,"(436,385)",6741.795614035087,"(434,385)",6683.3850877193,"(436,384)",6616.587719298244,"(435,384)",6564.918421052636
133,SI266220200309225433,5,"(226,287)",5031.173684210527,"(274,301)",4902.490350877193,"(227,287)",4856.1798245614045,"(275,301)",4809.242105263158,"(226,288)",4794.605263157893
134,SI266220200309225433,6,"(1,250)",12190.405263157892,"(1,251)",11752.022807017547,"(1,249)",11589.684210526313,"(1,191)",10197.010526315786,"(1,248)",10159.174561403506
135,SI266220200309225433,7,"(1,184)",14088.728947368421,"(1,94)",12819.040350877192,"(2,184)",11213.500877192979,"(1,117)",11157.963157894737,"(1,185)",10943.826315789473
136,SI266220200309225433,8,"(498,354)",7117.82192982456,"(498,353)",7019.189473684211,"(498,355)",6856.185087719296,"(498,352)",6571.707894736843,"(498,351)",5888.993859649123
137,SI266220200309225433,9,"(251,447)",9809.652631578945,"(252,447)",9685.449122807018,"(253,447)",9540.12280701755,"(253,448)",9395.490350877197,"(254,447)",9385.535964912277
138,SI266220200309225433,10,"(105,1)",10646.991228070172,"(104,1)",10489.87192982456,"(332,34)",10333.48596491228,"(106,1)",10191.81315789474,"(332,33)",10133.357017543858
139,SI266220200309225433,11,"(498,151)",3512.1263157894737,"(498,152)",3339.1421052631576,"(498,150)",3269.572807017543,"(447,125)",3080.292105263159,"(498,149)",3071.0789473684217
140,SI266220200309225433,12,"(237,385)",7755.050000000003,"(236,385)",7681.985964912281,"(236,386)",7576.985964912281,"(238,385)",7570.478947368421,"(237,386)",7537.39122807017
141,SI266220200309225433,13,"(1,498)",7677.654385964914,"(2,498)",6281.986842105263,"(1,497)",6155.313157894736,"(1,499)",5766.958771929825,"(0,498)",5673.743859649123
142,SI266220200309225433,14,"(1,1)",8513.229824561404,"(1,2)",7891.085964912279,"(2,1)",7212.855263157893,"(1,3)",6532.258771929823,"(0,2)",6487.989473684211
143,SI266220200309225433,15,"(151,94)",3798.127192982456,"(150,94)",3592.448245614036,"(150,93)",3569.1377192982454,"(151,93)",3549.3956140350892,"(152,94)",3418.77807017544
144,SI266220200309225433,0,"(498,296)",2845.267543859648,"(498,297)",2757.3149122807017,"(498,342)",2354.35701754386,"(498,335)",2345.3403508771935,"(498,295)",2341.059649122807
145,SI266220200309225433,1,"(498,73)",4716.650877192984,"(498,498)",4584.219298245614,"(498,74)",4496.078070175439,"(498,72)",4334.446491228069,"(498,79)",4229.061403508773
146,SI266220200309225433,2,"(385,379)",6547.408771929822,"(384,379)",6523.494736842105,"(385,378)",6413.713157894737,"(498,467)",6204.042105263157,"(384,378)",6199.267543859649
147,SI266220200309225433,3,"(498,94)",16102.303508771925,"(498,95)",15386.50701754386,"(498,96)",13951.929824561405,"(498,93)",13688.368421052633,"(498,99)",13181.54824561403
148,SI266220200309225433,4,"(355,386)",7707.890350877195,"(354,386)",7517.182456140352,"(356,386)",7396.782456140354,"(355,387)",7314.060526315785,"(356,387)",7227.2807017543855
149,SI266220200309225433,5,"(438,230)",6123.515789473684,"(438,231)",6029.888596491226,"(437,231)",5954.147368421054,"(437,230)",5934.983333333334,"(439,230)",5738.000877192982
150,SI266220200309225433,6,"(277,378)",8149.316666666666,"(439,378)",8123.058771929827,"(440,378)",7922.3649122807,"(438,378)",7862.5438596491185,"(278,378)",7830.957894736843
151,SI266220200309225433,7,"(1,95)",15388.42456140351,"(1,96)",14976.264912280698,"(1,94)",14446.324561403504,"(1,97)",14255.99298245614,"(1,98)",13531.12719298245
152,SI266220200309225433,8,"(498,355)",8969.599122807016,"(498,354)",8874.470175438597,"(498,353)",8112.045614035087,"(498,356)",7949.354385964913,"(497,355)",7645.666666666668
153,SI266220200309225433,9,"(104,498)",9965.604385964914,"(105,498)",9871.609649122805,"(106,498)",9221.412280701752,"(103,498)",8919.089473684213,"(107,498)",8482.364035087721
154,SI266220200309225433,10,"(258,35)",11300.51052631579,"(257,35)",11188.515789473684,"(258,34)",11121.289473684214,"(105,1)",11043.16403508772,"(259,35)",11030.598245614034
155,SI266220200309225433,11,"(498,151)",4577.243859649123,"(498,152)",4362.042105263159,"(498,150)",4207.71754385965,"(497,151)",3920.577192982457,"(497,152)",3791.053508771931
156,SI266220200309225433,12,"(1,355)",7776.17456140351,"(1,354)",7571.9052631578925,"(152,385)",7346.081578947364,"(151,384)",7324.942105263159,"(151,385)",7308.896491228075
157,SI266220200309225433,13,"(1,498)",7973.877192982456,"(151,498)",6539.63157894737,"(152,498)",6362.654385964914,"(1,499)",6177.129824561403,"(2,498)",6108.686842105264
158,SI266220200309225433,14,"(1,1)",9887.392105263156,"(1,2)",9631.470175438597,"(1,3)",8203.14649122807,"(2,1)",8015.576315789473,"(0,2)",7612.869298245614
159,SI266220200309225433,15,"(1,151)",4464.485964912279,"(1,152)",4348.68947368421,"(1,150)",4009.0570175438606,"(0,151)",3517.8078947368413,"(1,149)",3483.1175438596474
160,SI266220200309225433,0,"(498,387)",2384.4254385964914,"(498,386)",2309.9421052631587,"(498,388)",2111.5131578947367,"(498,385)",2024.658771929825,"(498,360)",1964.363157894737
161,SI266220200309225433,1,"(498,104)",4311.129824561403,"(498,103)",4254.657894736842,"(498,498)",4225.690350877193,"(498,14)",4220.3324561403515,"(498,15)",4177.295614035087
162,SI266220200309225433,2,"(447,165)",5383.849122807017,"(447,164)",5272.144736842105,"(447,166)",5239.085087719299,"(447,163)",4992.070175438597,"(447,167)",4904.913157894736
163,SI266220200309225433,3,"(321,111)",10245.592982456139,"(320,111)",10062.172807017545,"(297,119)",9838.691228070173,"(321,110)",9765.5850877193,"(320,112)",9741.734210526316
164,SI266220200309225433,4,"(352,298)",7766.092982456139,"(352,299)",7668.769298245614,"(351,298)",7408.2991228070205,"(353,299)",7379.3526315789495,"(353,298)",7321.534210526312
165,SI266220200309225433,5,"(1,14)",4790.585964912279,"(351,498)",4583.240350877193,"(351,447)",4460.802631578947,"(351,232)",4413.818421052631,"(1,13)",4361.827192982457
166,SI266220200309225433,6,"(351,380)",6844.1184210526335,"(351,381)",6706.42807017544,"(351,379)",6655.055263157894,"(166,415)",6571.514035087719,"(352,381)",6517.06228070175
167,SI266220200309225433,7,"(166,132)",8231.308771929827,"(167,132)",8121.171929824559,"(166,131)",8111.547368421052,"(189,119)",7989.93771929825,"(1,94)",7914.742105263162
168,SI266220200309225433,8,"(498,315)",8150.963157894737,"(498,316)",8068.086842105262,"(498,314)",7942.579824561402,"(498,317)",7855.356140350876,"(498,318)",7638.449122807018
169,SI266220200309225433,9,"(251,498)",9304.077192982455,"(250,498)",8970.583333333332,"(60,486)",8628.073684210525,"(59,486)",8529.37719298245,"(61,486)",8328.14122807017
170,SI266220200309225433,10,"(104,1)",8604.75614035088,"(251,1)",8537.430701754387,"(105,1)",8388.492105263162,"(250,1)",8264.592105263157,"(169,1)",7885.307894736845
171,SI266220200309225433,11,"(498,110)",4208.028947368422,"(498,109)",4127.766666666666,"(498,111)",3885.397368421054,"(498,151)",3773.198245614036,"(498,152)",3735.866666666667
172,SI266220200309225433,12,"(1,315)",7482.372807017542,"(1,314)",7357.28245614035,"(1,316)",7350.799122807017,"(1,317)",7166.704385964913,"(1,318)",6757.728070175439
173,SI266220200309225433,13,"(1,498)",6540.422807017543,"(1,288)",5253.792105263157,"(1,287)",5141.684210526317,"(1,499)",5132.923684210527,"(151,498)",5132.673684210527
